,level_0,index,Date,Close,Open,High,Low,Vol,Fluctuations,RSI,SMA_5,SMA_20,EMA,MACD,signal,Stochastic RSI_fastk,Stochastic RSI_fastd,Stochastic Oscillator Index_slowk,Stochastic Oscillator Index_slowd,WilliamR,Momentum,ROC,sent_index
1639,1708,221,2022-09-21,3806.25,3878.75,3925.25,3792.0,2440000,-1.72%,44.128509011964454,3906.95,3976.3,3941.7634488192552,-45.538359850392226,-34.929886701670306,8.20138941489808,29.409806175954316,44.156584714022365,31.016575084302985,-76.29781420765028,-332.0,-0.7357645553422887,-0.33333333333333337
1640,1709,220,2022-09-22,3772.0,3794.0,3833.0,3763.5,2580000,-0.90%,41.26240678434567,3874.75,3956.0875,3914.8973672157545,-54.71574727954476,-38.8870588172452,0.0,29.227651486200884,45.394339361690186,40.32814182943113,-92.26869455006337,-425.25,-4.673366834170856,0.33333333333333326
1641,1710,219,2022-09-23,3709.0,3777.25,3783.25,3660.25,2910000,-1.67%,40.7216571590262,3852.5,3943.75,3889.8705731765262,-62.61864914250418,-43.63337688229699,0.0,2.733796471632592,37.279306919752166,42.2767436651549,-76.49422400803616,-499.75,-5.810111589053046,1.0
1642,1711,218,2022-09-26,3670.0,3705.25,3730.5,3657.5,2900000,-1.05%,38.47927566254712,3815.65,3927.225,3856.30319623534,-73.84036827567797,-49.67477516097319,0.0,-1.0125233984581428e-13,25.725640275395474,36.13309551894594,-90.45954045954046,-589.25,-9.123796676681584,0.9375
1643,1712,217,2022-09-27,3661.0,3668.0,3733.0,3635.25,2960000,-0.25%,37.3777016335813,3764.65,3911.2625,3822.066251465278,-84.76233775864102,-56.69228768050676,0.0,-1.0125233984581428e-13,23.60481754638371,28.869921580510454,-93.7350549976088,-641.25,-10.933041947429123,0.875
1644,1713,216,2022-09-28,3732.0,3668.5,3751.25,3613.0,2780000,1.94%,37.40258506004947,3722.6,3896.7875,3794.1451148352276,-92.31359774946759,-63.81654969429893,0.9516654539048928,0.3172218179681963,17.88347367286592,22.404643831548373,-89.81651376146789,-611.0,-6.813996316758752,0.8125
1645,1714,215,2022-09-29,3654.25,3730.25,3736.0,3622.0,2860000,-2.08%,40.42686407600554,3709.85,3884.925,3782.5278212288226,-92.25189434912409,-69.50361862526395,100.0,33.65055515130153,35.129895338007096,25.539395519085577,-78.4862385321101,-556.75,-5.682680151706698,0.75
1646,1715,214,2022-09-30,3601.5,3656.5,3693.75,3595.25,2980000,-1.44%,38.14964764843845,3685.7,3871.3125,3759.613671914491,-97.03543847308174,-75.0099825948275,44.61273326185317,48.52146623858592,44.45313435952198,32.48883445679834,-89.11594846734783,-564.5,-5.966310916805961,0.6875
1647,1716,213,2022-10-03,3690.25,3593.25,3711.75,3571.75,2320000,2.46%,36.3338500580236,3663.3,3854.3375,3729.365731566402,-104.72299653631853,-80.95258538312571,3.630471970850654,49.41440174423451,40.036615409576854,39.87321503570198,-94.50127877237851,-553.75,-7.616660239105288,0.625
1648,1717,212,2022-10-04,3803.25,3696.5,3808.75,3686.25,2380000,3.06%,41.0704107407131,3669.0,3842.7125,3723.3901440088744,-101.31612041450853,-85.02529238940227,100.0,49.41440174423451,34.62588906398182,39.70521294436022,-67.82720825274016,-431.75,-5.7736426204435425,0.5625
1649,1718,211,2022-10-05,3794.0,3801.0,3820.0,3734.0,2089999,-0.24%,45.32895695429933,3695.5,3837.3875,3737.5010269163517,-89.15613347674298,-85.8514606068704,100.0,67.87682399028346,52.32042388464958,42.32764278606942,-37.10562414266118,-347.75,-2.0045117628101794,0.5
1650,1719,210,2022-10-06,3756.75,3795.75,3819.5,3750.0,2160000,-0.98%,45.159350681988336,3708.6,3828.175,3748.0917492951967,-79.0318572893002,-84.48753994335637,98.16921585521163,99.38973861840377,78.40505904198584,55.11712399687241,-38.54595336076817,-402.5,0.04612546125462025,0.4375
1651,1720,209,2022-10-07,3653.25,3745.75,3770.5,3632.5,2240000,-2.76%,43.55379224793906,3726.45,3814.95,3747.66597669607,-74.18768811350537,-82.42756957738617,80.82281738608302,92.99734441376476,84.22289358845246,71.64945883836263,-52.26337448559671,-278.25,-0.8339400357402882,0.375
1652,1721,208,2022-10-10,3625.25,3638.75,3667.5,3600.0,2020000,-0.77%,40.37591013384918,3735.55,3793.025,3727.863071842239,-78.08256766963723,-81.55856919583638,0.0,59.66401108043143,59.31196405139,73.9799722272761,-81.04667609618105,-397.0,-1.7947506915862665,0.3125
1653,1722,207,2022-10-11,3599.25,3624.75,3653.25,3579.0,2400000,-0.72%,39.981058796385376,3721.2,3768.35,3709.1152405981957,-81.36109076723778,-81.51907351011667,0.0,26.940939128694215,35.56255776478348,59.69913846820865,-79.71291866028709,-362.5,-1.1791166848418744,0.25
1654,1723,206,2022-10-12,3588.5,3607.0,3635.25,3585.5,1950000,-0.30%,39.47473989088181,3682.4,3751.8625,3690.5488332167056,-84.41849671815271,-82.09895815172388,0.0,-1.2316074086508402e-13,16.07981683189149,36.984779549355,-85.80060422960726,-351.0,-1.6764345100177214,0.1875
1655,1724,205,2022-10-13,3681.75,3596.25,3697.75,3502.0,3290000,2.60%,39.16400479200971,3642.5,3733.925,3673.4035908136684,-86.70941594786518,-83.02104971095214,0.0,-1.2316074086508402e-13,21.909411662882963,24.51726208651932,-70.36163522012578,-371.25,-3.592252529991291,0.125
1656,1725,204,2022-10-14,3597.5,3680.25,3733.75,3591.25,2730000,-2.29%,42.80344811939209,3629.4,3723.5125,3674.6483924839104,-80.81529949310561,-82.57989966738283,100.0,33.33333333333321,41.219870451849594,26.40303298220802,-43.94654088050314,-248.5,0.6495282373854883,0.0625
