,Date,Price,Open,High,Low,Vol,Fluctuations,RSI,SMA_5,SMA_20,EMA,MACD,signal,Stochastic RSI_fastk,Stochastic RSI_fastd,Stochastic Oscillator Index_slowk,Stochastic Oscillator Index_slowd,WilliamR,Momentum,ROC,sent_index
297,2017-03-09,20858.19,20864.32,20900.57,20777.16,275960000,0.01%,67.47804430689159,20940.821999999964,20703.11449999999,20874.86633959247,234.49437136034612,245.47411538337607,0.0,0.41801122863889023,27.14475551589469,32.39615778041267,-47.885310290652136,869.8400000000001,0.22630314052651812,0.19999999999999996
298,2017-03-10,20902.98,20919.01,20940.29,20827.66,315430000,0.21%,68.34553350763751,20922.87399999996,20745.97849999999,20882.892459666567,223.1487121456048,241.0090347358218,30.288934263846855,10.514322649921175,45.55399275235035,34.59449186762989,-49.45228773678202,842.7599999999984,0.8052270851213184,0.0
299,2017-03-13,20881.48,20899.28,20926.06,20845.71,289260000,-0.10%,67.67187768346449,20911.58799999996,20780.380999999994,20885.872012454463,210.14275450276546,234.83577868921054,10.742977845787987,13.677304036544953,54.69980874235423,42.466185670199735,-56.60135928847145,795.9199999999983,0.4352504311896377,-0.20000000000000018
300,2017-03-14,20837.37,20848.6,20874.0,20786.31,246820000,-0.21%,65.9446860961777,20894.329999999958,20805.883999999995,20879.09528291729,193.51526342074067,226.57167563551656,0.0,13.677304036544953,57.3083428378985,52.520714777534344,-73.65336887581628,819.9799999999996,0.07065414603519837,-0.40000000000000013
301,2017-03-15,20950.1,20874.78,20977.47,20859.6,306590000,0.54%,66.40292301318313,20881.197999999957,20830.911999999993,20878.310686023236,180.3711577192007,217.3315720522534,22.991917812848165,11.24496521954539,50.95874785820323,54.322299812818635,-67.63719091828335,961.619999999999,-0.39370548386743476,-0.6000000000000001
302,2017-03-16,20934.55,20969.27,21000.11,20893.5,264360000,-0.07%,68.01007825094058,20902.18799999996,20854.161999999993,20894.84874310992,175.55522125538118,208.97630189287895,100.0,40.99730593761606,58.43375784176185,55.56694951262117,-50.67579561303386,1045.4599999999991,-0.7555524634257016,-0.8
303,2017-03-17,20914.62,20965.37,20980.51,20911.07,535280000,-0.10%,67.87145199666676,20911.459999999955,20871.064999999995,20907.670789817206,169.47031124805653,201.07510376391446,93.92796557382015,72.30662779555611,72.68697830803721,60.69316133600074,-51.98112004082184,1107.0299999999988,-0.2064853929910182,-1.0
304,2017-03-20,20905.86,20916.27,20955.45,20885.7,253610000,-0.04%,66.11627572845146,20914.857999999957,20888.671999999995,20909.234282577716,158.85483689760804,192.63105039065317,16.763434591657692,70.23046672182596,76.70408481446789,69.2749403214223,-64.50822809031756,952.0600000000013,-0.18820646019628295,1.0
305,2017-03-21,20668.01,20956.33,20970.04,20653.26,369320000,-1.14%,66.8400451620196,20936.40399999996,20903.316999999995,20917.79714029086,151.92322779799724,184.48948587212197,44.12894089764678,51.606780354374884,77.3049264845588,75.56532986902128,-36.3218052695714,930.7200000000012,0.10241276643918606,1.0
306,2017-03-22,20661.3,20640.42,20686.21,20578.95,325090000,-0.03%,56.921244331050225,20889.53199999996,20899.567499999997,20867.364932965247,119.56036337183104,171.5036613720638,0.0,20.29745849643484,54.25300443624965,69.42067191175876,-86.6662328365984,532.7999999999993,-1.4327301623079602,1.0
307,2017-03-23,20656.58,20645.07,20757.89,20618.62,280050000,-0.02%,57.01836645879466,20824.69199999996,20890.960499999994,20826.94767242611,93.21327171746088,155.84558344114322,1.2133836360654828,15.1141081779041,39.47967188315994,57.01253426798943,-84.30050337164046,595.7799999999988,-1.050837027039464,1.0
308,2017-03-24,20596.72,20674.45,20718.33,20529.67,292980000,-0.29%,57.64254239076182,20766.507999999958,20887.087499999998,20799.22082289409,73.8524076381982,139.4469482805542,10.16970876476521,3.794364133610244,21.31269519602542,38.34845717181164,-69.22455573505616,612.7200000000012,-1.1690801811366724,1.0
309,2017-03-27,20550.98,20488.35,20578.46,20412.8,269380000,-0.22%,52.63403199076817,20680.92399999996,20871.069499999994,20742.698855095165,42.99643256027775,120.15684513649892,0.0,3.794364133610244,20.96685829530548,27.253075124830247,-87.13626534538845,277.119999999999,-1.9662399853009327,1.0
310,2017-03-28,20701.5,20542.14,20735.61,20520.1,299670000,0.73%,53.83345198110464,20598.08599999996,20856.482499999995,20706.233608714225,22.622475646690873,100.6499712385373,38.04951970019414,16.073076154986463,27.971623034083496,23.417058841804764,-77.97755869983486,203.59999999999854,-1.469930834684341,0.6
311,2017-03-29,20659.32,20675.75,20684.73,20625.03,238320000,-0.20%,56.653884576507366,20605.15199999996,20842.405499999997,20700.691134402547,17.060515379387653,83.93208006670737,100.0,46.01650656673139,42.411827941003686,30.450103090130852,-55.22807376002449,301.52999999999884,-0.9534471740540451,0.19999999999999996
