,CNN,RNN,LSTM,BiLSTM,ATFN
337,34037.203,34108.023,34678.195,34508.586,34503.688
338,33927.367,34182.465,34577.023,34403.953,34425.336
339,33933.883,34166.156,34480.594,34403.38,34398.04
340,34416.445,34022.625,34257.492,34174.645,34162.938
341,34544.836,34238.023,34143.55,34096.277,33958.645
342,34389.05,34185.477,34074.375,33959.93,33924.633
343,34454.023,33849.957,34180.79,34233.188,34325.484
344,34684.703,34083.156,34315.637,34335.99,34511.344
345,34657.32,34564.32,34554.297,34493.707,34770.523
346,34895.137,34982.523,34717.477,34692.87,34875.363
347,34850.906,35089.676,34794.523,34731.61,34656.69
348,34834.344,34650.58,34723.02,34677.86,34366.4
349,34508.67,34312.984,34449.59,34432.07,34436.85
350,34172.637,33894.836,34321.234,34307.61,34221.062
351,34602.348,34186.86,34421.18,34425.35,34439.29
352,34687.215,34645.46,34731.047,34657.023,34792.598
353,34571.473,34358.54,34998.945,34816.797,34851.188
354,34652.46,34696.7,35026.61,35000.79,34999.25
355,34641.15,34948.64,34983.78,35046.906,34980.875
356,34849.668,34767.734,34998.066,35081.934,35155.79
357,35022.242,35124.15,35152.383,35165.883,35406.203
358,35102.375,35256.32,35358.957,35291.145,35485.297
359,35390.375,35277.87,35538.152,35333.953,35422.39
360,35267.72,35041.82,35580.883,35437.484,35634.21
361,35332.67,35135.805,35642.516,35546.64,35718.58
362,35210.58,35091.61,35583.664,35461.97,35716.152
363,35341.008,35083.227,35718.57,35611.137,35779.11
