,CNN,RNN,LSTM,BiLSTM,ATFN
80,3690.7356,4200.9736,3822.056,3889.6523,3667.5278
81,3693.7046,4203.3643,3800.7124,3881.4678,3657.3596
82,3637.8018,4226.2383,3777.0835,3855.4502,3672.6924
83,3651.8945,4254.5635,3787.3071,3857.0405,3754.766
84,3661.2778,4227.1636,3791.7168,3851.4766,3737.8618
85,3720.2275,4155.4263,3809.8257,3860.6245,3828.6743
86,3772.5786,4133.412,3849.8423,3886.6284,3892.2437
87,3821.8176,4138.407,3884.8787,3905.5708,3886.143
88,3835.9944,4095.7686,3886.3408,3892.459,3857.88
89,3808.745,4075.066,3869.983,3862.7883,3840.2559
90,3800.7842,4001.2734,3841.6611,3832.2764,3848.4692
91,3871.3264,3994.921,3862.8926,3861.558,3883.0254
92,3885.0754,3994.9026,3896.2864,3885.6533,3872.656
93,3875.7563,4001.5725,3911.3628,3885.4902,3827.8276
94,3859.1826,4062.195,3914.5647,3890.107,3856.9897
95,3893.8735,4031.399,3912.5928,3895.151,3910.207
96,3950.1172,3938.4644,3913.1895,3903.1062,3920.3684
97,3950.6982,3966.239,3924.5293,3914.9211,3898.3267
98,3879.6938,3978.007,3900.88,3892.936,3857.496
99,3783.0918,3946.2058,3859.8574,3850.23,3827.6184
100,3774.6743,3938.5002,3829.1704,3816.5293,3817.0261
101,3812.6904,3892.6592,3824.6907,3812.1406,3861.0645
102,3880.7517,3868.0703,3870.9126,3868.4019,3856.4927
103,3873.3545,3917.191,3896.0222,3898.5083,3872.7734
104,3912.5762,4007.6162,3933.1753,3948.9446,3948.1006
105,3894.8848,4096.63,3951.7822,3969.1377,3970.5884
106,3958.4912,4134.9834,3963.419,3978.7976,3983.8074
107,3963.4736,4076.4004,3968.6067,3975.8518,3987.7046
108,3952.3257,4066.6655,3943.2788,3952.9375,3954.8525
109,3924.037,4019.4941,3934.455,3952.6143,4018.8306
110,3975.0532,4126.494,3982.1367,3997.9673,4050.1785
111,4041.8901,4200.049,4037.775,4037.885,4110.3174
112,4096.7485,4161.9385,4080.9492,4058.3105,4130.033
113,4075.855,4185.1426,4089.4495,4067.948,4114.034
114,4101.293,4114.954,4069.8086,4072.495,4133.5576
115,4138.207,4066.119,4080.186,4101.6357,4167.4595
116,4138.129,4093.192,4098.4434,4114.947,4144.904
117,4152.835,4135.1636,4131.162,4134.578,4163.705
118,4187.3896,4217.7646,4153.5137,4145.9663,4164.5654
119,4174.2554,4233.4697,4138.74,4130.6123,4183.9062
120,4193.5137,4223.042,4171.7817,4165.5063,4230.619
121,4229.385,4306.701,4203.9805,4195.6025,4259.8447
122,4262.5557,4204.0527,4235.6494,4219.604,4292.258
123,4264.4976,4258.0454,4258.426,4242.787,4307.1807
124,4296.867,4284.117,4264.5527,4259.7207,4291.998
125,4284.7993,4191.2197,4236.2837,4251.269,4278.619
126,4250.9775,4187.2197,4215.6416,4240.3013,4261.0703
127,4218.697,4179.085,4183.63,4217.0454,4207.088
128,4198.164,4202.7134,4161.1143,4190.079,4156.383
129,4218.843,4281.157,4150.4697,4171.4966,4133.5264
130,4163.736,4318.0264,4146.63,4163.0576,4167.383
131,4112.875,4291.613,4144.673,4171.1865,4101.7773
132,3982.1772,4203.2876,4104.2197,4132.083,4019.5737
133,4043.0037,4196.3354,4055.466,4090.845,4032.1199
134,3956.8625,4161.456,4011.6372,4053.8022,4017.154
135,3977.6177,4051.1526,3981.358,4026.9539,3982.9927
136,3877.7896,4047.8208,3969.785,4012.6511,3981.6948
137,3904.6265,4132.3984,3971.7793,4022.8657,3838.5957
138,3901.9126,4111.1875,3972.5168,4035.984,3925.5334
139,3858.578,4203.8906,3958.4902,4005.1494,3836.6445
140,3878.5205,4336.0176,3951.983,3973.7515,3881.7737
141,3956.8538,4269.246,3974.3494,3975.459,4046.4028
142,4061.0674,4157.9023,4010.787,3996.3738,4055.1191
143,4005.5256,4034.045,4054.0662,4035.5015,4112.7104
144,4070.09,4123.1064,4080.1978,4067.5024,4057.5867
145,4037.762,4083.9268,4053.1863,4049.9563,3964.16
146,3980.037,4056.8428,4032.3293,4041.3718,3974.5002
147,3983.1604,4053.4692,4012.921,4024.3525,3924.4827
148,3898.4502,4066.6213,3985.4722,3993.954,3910.8801
149,3891.6995,4177.855,3983.145,3998.7432,3865.9807
150,3779.2197,4197.4116,3937.1074,3953.0957,3820.895
151,3697.1694,4072.894,3882.5618,3886.9172,3806.6318
152,3691.8955,4104.4824,3828.8594,3818.746,3726.441
153,3650.8965,3921.5159,3784.7686,3755.4111,3680.0679
154,3632.2021,3766.507,3748.627,3698.062,3696.9128
155,3594.0142,3753.5405,3733.217,3674.0173,3734.8813
156,3687.1177,3774.2124,3752.4531,3704.4524,3806.1626
157,3591.002,3817.1328,3737.8857,3694.1968,3647.702
158,3457.4133,3748.6152,3710.935,3672.0808,3609.9653
159,3664.605,3833.2048,3729.2563,3710.8403,3812.2412
160,3783.1724,3881.8145,3764.3203,3761.7295,3775.5479
161,3678.3743,3837.1848,3800.663,3795.399,3787.6973
162,3712.1528,3887.4429,3795.811,3784.9148,3717.107
163,3639.8464,3905.1323,3737.2832,3737.9453,3668.8633
164,3574.8403,3818.086,3689.1543,3693.4854,3664.5803
165,3563.1921,3786.858,3669.0493,3662.9607,3645.6406
166,3549.9502,3784.9976,3655.4653,3631.9888,3645.8853
167,3631.9365,3835.707,3683.1157,3668.3955,3696.335
168,3574.8271,3856.2668,3679.6025,3673.8457,3661.7092
169,3573.3618,3799.6875,3696.0625,3707.8481,3718.061
170,3707.2563,3874.708,3716.0857,3718.9897,3735.2207
171,3653.153,3885.983,3718.919,3726.101,3710.2979
172,3593.0483,3794.7822,3713.3027,3717.8477,3714.9707
173,3750.906,3778.6885,3746.5781,3758.7368,3793.541
174,3801.1003,3855.525,3791.6343,3804.343,3837.961
175,3849.1304,3938.2227,3839.7964,3826.5168,3855.9495
176,3786.6172,3983.2305,3870.5903,3844.7917,3837.6914
177,3796.278,3955.0503,3854.0698,3844.398,3865.9414
178,3866.219,3868.7627,3871.0225,3875.4712,3901.4956
179,3867.7651,3931.2466,3880.644,3880.4883,3881.9893
180,3850.23,3979.9954,3875.3096,3873.2568,3827.3083
